id_tmdb,titulo_pt,titulo_original,assistido_por,num_assistidos,ano_lancamento,pais,duracao_minutos,generos,diretor
408220,Liga da Justiça Sombria,Justice League Dark,yatokami,1,2017,United States of America,75,"Animação, Ação, Aventura, Fantasia, Ficção científica, Terror",Jay Oliva
501929,A Família Mitchell e a Revolta das Máquinas,The Mitchells vs. the Machines,"DenisseAraujo, matheuspc3",2,2021,Hong Kong,90,"Animação, Aventura, Comédia",Mike Rianda
508642,Gonjiam: Manicômio Assombrado,곤지암,ok1na,1,2018,South Korea,95,"Terror, Mistério",Jung Bum-shik
519141,Matthias & Maxime,Matthias & Maxime,catlovrr96,1,2019,Canada,119,"Drama, Romance",Xavier Dolan
522627,Magnatas do Crime,The Gentlemen,"DenisseAraujo, matheuspc3",2,2020,United Kingdom,113,"Ação, Comédia, Crime",Guy Ritchie
537116,"tick, tick...BOOM!","tick, tick... BOOM!",ValenteXD_,1,2021,United States of America,115,"Drama, Música",Lin-Manuel Miranda
579974,"RRR: Revolta, Rebelião, Revolução",రౌద్రం రణం రుధిరం,DenisseAraujo,1,2022,India,185,"Ação, História, Drama",S. S. Rajamouli
620249,A Lenda de Hei,罗小黑战记,ssophs,1,2019,China,101,"Animação, Fantasia, Ação",MTJJ
639988,A Única Saída,어쩔수가없다,batgabi,1,2025,South Korea,139,"Comédia, Crime, Thriller",Park Chan-wook
687163,Devoradores de Estrelas,Project Hail Mary,ok1na,1,2026,United States of America,157,"Ficção científica, Aventura",Phil Lord
823219,Flow,Straume,danielzanzao,1,2024,Latvia,85,"Aventura, Animação, Família, Fantasia",Gints Zilbalodis
837335,La Chimera,La chimera,batgabi,1,2023,Italy,131,"Drama, Fantasia, Comédia",Alice Rohrwacher
846867,Mad God,Mad God,UmaPessoaHumana,1,2021,United States of America,84,"Animação, Fantasia, Terror, Ficção científica",Phil Tippett
877703,Teen Wolf: O Filme,Teen Wolf: The Movie,catlovrr96,1,2023,United States of America,140,"Ação, Fantasia, Cinema TV",Russell Mulcahy
936108,Smurfs,Smurfs,ValenteXD_,1,2025,United States of America,92,"Animação, Família, Fantasia",Chris Miller
962571,جوائے لینڈ,جوائے لینڈ,belovacomics,1,2022,Pakistan,127,"Romance, Drama",Saim Sadiq
1165642,Separados pelas Estrelas,이 별에 필요한,xeremel,1,2025,South Korea,96,"Animação, Romance, Ficção científica, Drama",Han Ji-won
1171462,Golden Kamuy,ゴールデンカムイ,matheuspc3,1,2024,Japan,127,"Ação, Aventura, Comédia",Shigeaki Kubo
1202033,Enola Holmes 3,Enola Holmes 3,danielzanzao,1,2026,United States of America,109,"Aventura, Crime, Mistério",Philip Barantini
1212763,A Morte do Demônio: Em Chamas,Evil Dead Burn,yatokami,1,2026,United States of America,117,"Terror, Thriller",Sébastien Vaniček
1220970,Livros Restantes,Livros Restantes,Belle_Is,1,2025,Brazil,104,Drama,Marcia Paraiso
1244244,Cloud - Nuvem de Vingança,Cloud クラウド,batgabi,1,2024,Japan,124,"Ação, Drama, Crime, Thriller",Kiyoshi Kurosawa
1245728,O Pavão,Pfau - Bin ich echt?,ssophs,1,2025,Austria,102,Comédia,Bernhard Wenger
1253971,A Vida por Philomena Cunk,Cunk on Life,EdzinhoHowlett,1,2024,United Kingdom,70,"Comédia, Cinema TV",Al Campbell
1284120,A Meia-Irmã Feia,Den stygge stesøsteren,catlovrr96,1,2025,Denmark,109,"Terror, Comédia, Drama",Emilie Blichfeldt
1290205,As Garotas do Prédio,แฟลตเกิร์ล ชั้นห่างระหว่าง เ ร า,belovacomics,1,2025,Thailand,130,Drama,Jirassaya Wongsutin
1330021,Criaturas Extraordinariamente Brilhantes,Remarkably Bright Creatures,batgabi,1,2026,United States of America,114,"Drama, Mistério",Olivia Newman
1333141,A Sapatona Galáctica,Lesbian Space Princess,EdzinhoHowlett,1,2025,Australia,87,"Animação, Comédia, Ficção científica, Aventura",Emma Hough Hobbs
1339713,Obsessão,Obsession,ok1na,1,2026,United States of America,100,"Terror, Thriller",Curry Barker
1403855,A Natureza das Coisas Invisíveis,A Natureza das Coisas Invisíveis,carolina__rosa,1,2025,Brazil,90,Drama,Rafaela Camelo
